계측기명,수집시간,nh4,no3,ph,temp,상전류(R),current_aeration,cycle_runtime,elapsed_time,T_remaining,nh4_diff,no3_diff,ph_diff,nh4_decay_rate,hour,weekday,hour_sin,hour_cos,nh4_rolling_mean,nh4_no3_ratio,do_saturation,reactor
반응조A,11월01월20 1:00,0,3.3,6.25,18.39,55.48,1,110,0,110,0,-0.22,0,0,1,6,0.258819045,0.965925826,0,0,9.361872374,0
반응조A,11월01월20 1:10,0,2.14,6.3,18.26,4.52,1,110,10,100,0,-1.16,0.05,0,1,6,0.258819045,0.965925826,0,0,9.386281588,0
반응조A,11월01월20 1:20,0,2.37,6.31,18.29,4.56,1,110,20,90,0,0.23,0.01,0,1,6,0.258819045,0.965925826,0,0,9.380637402,0
반응조A,11월01월20 1:30,0,0.93,6.34,18.26,4.32,1,110,30,80,0,-1.44,0.03,0,1,6,0.258819045,0.965925826,0,0,9.386281588,0
반응조A,11월01월20 1:40,0,0.57,6.36,18.26,4.36,1,110,40,70,0,-0.36,0.02,0,1,6,0.258819045,0.965925826,0,0,9.386281588,0
반응조A,11월01월20 1:50,0,0.77,6.37,18.26,4.2,1,110,50,60,0,0.2,0.01,0,1,6,0.258819045,0.965925826,0,0,9.386281588,0
반응조A,11월01월20 2:00,0,1.31,6.39,18.2,4.68,1,110,60,50,0,0.54,0.02,0,2,6,0.5,0.866025404,0,0,9.397590361,0
반응조A,11월01월20 2:10,0.2,1.07,6.4,18.2,4.8,1,110,70,40,0.2,-0.24,0.01,0.02,2,6,0.5,0.866025404,0.033333333,0.186915713,9.397590361,0
반응조A,11월01월20 2:20,0.82,1.28,6.4,18.2,4.48,1,110,80,30,0.62,0.21,0,0.062,2,6,0.5,0.866025404,0.17,0.6406245,9.397590361,0
반응조A,11월01월20 2:30,1.55,1.16,6.41,18.2,4.28,1,110,90,20,0.73,-0.12,0.01,0.073,2,6,0.5,0.866025404,0.428333333,1.336205745,9.397590361,0
반응조A,11월01월20 2:40,2.27,0.99,6.42,18.2,4.36,1,110,100,10,0.72,-0.17,0.01,0.072,2,6,0.5,0.866025404,0.806666667,2.292926977,9.397590361,0
반응조A,11월01월20 3:00,2.57,0.92,6.44,18.17,51.72,1,40,0,40,0,0.1,0.03,0,3,6,0.707106781,0.707106781,1.663333333,2.793475224,9.403254973,0
