계측기명,수집시간,nh4,no3,ph,temp,상전류(R),current_aeration,cycle_runtime,elapsed_time,T_remaining,nh4_diff,no3_diff,ph_diff,nh4_decay_rate,hour,weekday,hour_sin,hour_cos,nh4_rolling_mean,nh4_no3_ratio,do_saturation
반응조A,2020-06-01 00:00:00,0.04,2.51,6.04,,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.04,0.015936248630976643,
반응조B,2020-06-01 00:00:00,0.01,3.96,5.98,,5.38,1,30,0,30,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.01,0.0025252518875626545,
반응조A,2020-06-01 00:10:00,0.13,2.51,6.11,,1.52,0,0,0,0,0.09,0.0,0.07000000000000028,0.009,0,0,0.0,1.0,0.085,0.051792808050674086,
반응조B,2020-06-01 00:10:00,0.0,3.96,5.98,,5.14,1,30,10,20,-0.01,0.0,0.0,-0.001,0,0,0.0,1.0,0.005,0.0,
반응조A,2020-06-01 00:20:00,0.51,2.51,6.19,,0.0,0,0,0,0,0.38,0.0,0.08000000000000007,0.038,0,0,0.0,1.0,0.22666666666666668,0.20318717004495218,
반응조B,2020-06-01 00:20:00,0.0,3.96,5.94,,5.3,1,30,20,10,0.0,0.0,-0.040000000000000036,0.0,0,0,0.0,1.0,0.0033333333333333335,0.0,
반응조A,2020-06-01 00:30:00,1.17,2.51,6.23,,0.72,0,0,0,0,0.6599999999999999,0.0,0.040000000000000036,0.06599999999999999,0,0,0.0,1.0,0.4625,0.46613527245606673,
반응조B,2020-06-01 00:30:00,0.0,3.96,5.92,,0.0,0,0,0,0,0.0,0.0,-0.020000000000000462,0.0,0,0,0.0,1.0,0.0025,0.0,
반응조A,2020-06-01 00:40:00,1.79,2.51,6.28,,0.0,0,0,0,0,0.6200000000000001,0.0,0.04999999999999982,0.06200000000000001,0,0,0.0,1.0,0.728,0.7131471262362047,
반응조B,2020-06-01 00:40:00,0.0,3.96,5.9,,0.0,0,0,0,0,0.0,0.0,-0.019999999999999574,0.0,0,0,0.0,1.0,0.002,0.0,
반응조A,2020-06-01 00:50:00,2.36,2.51,6.32,,0.68,0,0,0,0,0.5699999999999998,0.0,0.040000000000000036,0.05699999999999998,0,0,0.0,1.0,1.0,0.9402386692276218,
반응조B,2020-06-01 00:50:00,0.0,3.96,5.91,,0.0,0,0,0,0,0.0,0.0,0.009999999999999787,0.0,0,0,0.0,1.0,0.0016666666666666668,0.0,
반응조A,2020-06-01 01:00:00,2.92,2.51,6.35,,0.76,0,0,0,0,0.56,0.0,0.02999999999999936,0.05600000000000001,1,0,0.25881904510252074,0.9659258262890683,1.4799999999999998,1.1633461500612947,
반응조B,2020-06-01 01:00:00,0.0,3.96,5.9,,0.0,0,0,0,0,0.0,0.0,-0.009999999999999787,0.0,1,0,0.25881904510252074,0.9659258262890683,0.0,0.0,
반응조A,2020-06-01 01:10:00,3.52,2.51,6.38,,0.74,0,0,0,0,0.6000000000000001,0.0,0.03000000000000025,0.06000000000000001,1,0,0.25881904510252074,0.9659258262890683,2.045,1.4023898795259444,
반응조B,2020-06-01 01:10:00,0.0,3.96,5.9,,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.25881904510252074,0.9659258262890683,0.0,0.0,
반응조A,2020-06-01 01:20:00,3.8,2.51,6.38,,0.84,0,0,0,0,0.2799999999999998,0.0,0.0,0.02799999999999998,1,0,0.25881904510252074,0.9659258262890683,2.5933333333333333,1.513943619942781,
반응조B,2020-06-01 01:20:00,0.0,3.96,5.9,,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.25881904510252074,0.9659258262890683,0.0,0.0,
