계측기명,수집시간,nh4,no3,ph,temp,상전류(R),current_aeration,cycle_runtime,elapsed_time,T_remaining,nh4_diff,no3_diff,ph_diff,nh4_decay_rate,hour,weekday,hour_sin,hour_cos,nh4_rolling_mean,nh4_no3_ratio,do_saturation,reactor
반응조A,2020-07-15 19:20:00,0.08,4.58,6.33,21.33,6.1,1,40,0,40,0.0,0.0,0.0,0.0,19,2,-0.9659258262890684,0.2588190451025203,0.08,0.01746724509448797,8.84186661628566,0
반응조A,2020-07-15 19:30:00,0.06,4.45,6.33,21.33,6.14,1,40,10,30,-0.020000000000000004,-0.1299999999999999,0.0,-0.0020000000000000005,19,2,-0.9659258262890684,0.2588190451025203,0.07,0.013483143037495945,8.84186661628566,0
반응조A,2020-07-15 19:40:00,0.05,4.66,6.33,21.33,6.04,1,40,20,20,-0.009999999999999995,0.20999999999999996,0.0,-0.0009999999999999996,19,2,-0.9659258262890684,0.2588190451025203,0.06333333333333334,0.010729611431413856,8.84186661628566,0
반응조A,2020-07-15 19:50:00,0.04,4.34,6.31,21.36,6.16,1,40,30,10,-0.010000000000000002,-0.3200000000000003,-0.020000000000000462,-0.0010000000000000002,19,2,-0.9659258262890684,0.2588190451025203,0.0575,0.009216587738113425,8.836858006042297,0
반응조A,2020-07-15 23:10:00,3.82,1.64,6.53,21.33,6.7,1,110,0,110,0.2599999999999998,0.3599999999999999,0.010000000000000675,0.025999999999999978,23,2,-0.25881904510252157,0.9659258262890681,2.638333333333333,2.329266872398249,8.84186661628566,0
반응조A,2020-07-15 23:20:00,3.8,1.79,6.55,21.33,6.8,1,110,10,100,-0.020000000000000018,0.15000000000000013,0.019999999999999574,-0.0020000000000000018,23,2,-0.25881904510252157,0.9659258262890681,3.063333333333333,2.122903841953161,8.84186661628566,0
반응조A,2020-07-15 23:30:00,3.58,1.77,6.55,21.33,6.7,1,110,20,90,-0.21999999999999975,-0.020000000000000018,0.0,-0.021999999999999974,23,2,-0.25881904510252157,0.9659258262890681,3.36,2.022597727345917,8.84186661628566,0
반응조A,2020-07-15 23:40:00,3.19,2.03,6.52,21.33,6.66,1,110,30,80,-0.3900000000000001,0.2599999999999998,-0.03000000000000025,-0.039000000000000014,23,2,-0.25881904510252157,0.9659258262890681,3.4916666666666667,1.5714277973262083,8.84186661628566,0
반응조A,2020-07-15 23:50:00,2.72,2.34,6.48,21.33,6.74,1,110,40,70,-0.46999999999999975,0.31000000000000005,-0.03999999999999915,-0.04699999999999997,23,2,-0.25881904510252157,0.9659258262890681,3.4450000000000003,1.16239266564416,8.84186661628566,0
반응조A,2020-07-16 00:00:00,2.19,2.73,6.44,21.33,6.52,1,110,50,60,-0.5300000000000002,0.3900000000000001,-0.040000000000000036,-0.053000000000000026,0,3,0.0,1.0,3.2166666666666663,0.802197508352561,8.84186661628566,0
반응조A,2020-07-16 00:10:00,1.67,3.04,6.41,21.36,6.42,1,110,60,50,-0.52,0.31000000000000005,-0.03000000000000025,-0.052000000000000005,0,3,0.0,1.0,2.858333333333333,0.5493419245585774,8.836858006042297,0
반응조A,2020-07-16 00:20:00,1.17,3.4,6.37,21.36,6.6,1,110,70,40,-0.5,0.3599999999999999,-0.040000000000000036,-0.05,0,3,0.0,1.0,2.42,0.3441175458477806,8.836858006042297,0
반응조A,2020-07-16 00:30:00,0.71,3.84,6.33,21.36,6.46,1,110,80,30,-0.45999999999999996,0.43999999999999995,-0.040000000000000036,-0.046,0,3,0.0,1.0,1.9416666666666667,0.18489578518338926,8.836858006042297,0
반응조A,2020-07-16 00:40:00,0.28,4.58,6.29,21.39,6.2,1,110,90,20,-0.42999999999999994,0.7400000000000002,-0.040000000000000036,-0.043,0,3,0.0,1.0,1.4566666666666668,0.0611353578307079,8.831855066993771,0
반응조A,2020-07-16 00:50:00,0.08,4.15,6.26,21.39,5.9,1,110,100,10,-0.2,-0.4299999999999997,-0.03000000000000025,-0.02,0,3,0.0,1.0,1.0166666666666666,0.019277103788649688,8.831855066993771,0
